Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
FPT,2022,4,0.5466137149,1.0369991223,0.47480267162059003,1.7108259914086186,0.8355048736,3.9238599532,58.893408834098715,25.4583395255,41.3039624886,125.65571084819871,14.3371487223,0.15320123721834925,0.40186340142648425,0.10363110955896346,0.227053325,0.1800440751,0.1008104799,8627621794997.0,1998115841063,0.0251256281,1.2616739557,0.2626375232,1.1815069652,-12.760722578034853,2.0382530832971932,87323315131200.0,1097026572.0,16.4103429545,4.1490721109,1.9841911453,17.2425017899,1232.058675982554,19185.0124252177,12.2950674214
FPT,2022,3,0.8485782384999999,1.29163753,0.47324782722538494,1.6239302753890803,0.755324685,3.8785732595,57.69438479746345,29.3391240595,38.2071989644,125.24070782136346,12.4407258806,0.15846572493743336,0.39103579972068575,0.13039499349782072,0.228420619,0.1468530585,0.0950511804,8015842349776.0,1766664487168,0.025,1.2289931657,0.1302289333,1.1527451052,-10.607900672666295,2.2916375299593263,87762125760000.0,1097026572.0,16.6715161989,4.4112021489,2.1056713484,14.6961003063,1325.1422691783257,18135.645862424,13.2881857747
FPT,2022,2,1.0253419789,1.404593247,0.4542560880992148,1.5804494082497973,0.7343030372,3.9213986148,58.30547326924258,30.1030767709,37.6861325284,126.0946825685426,12.1250064496,0.15656652808856775,0.3806126661974921,0.12389194076629031,0.223164695,0.1288527303,0.0919584394,7582533147723.0,1580705075815,0.0273972603,1.2217132483,0.1716182096,1.1491377693,-8.94164083395172,2.4045932469639855,80082939756000.0,1097026572.0,16.2049442826,4.0943398103,2.0400416513,16.8800262028,1140.1915967100203,17829.4922705528,13.264402749
FPT,2022,1,1.0859778911,1.4217224707,0.46019043116922675,1.5499179757843335,0.7393032413,4.010718098,58.30844156147082,30.1654652684,41.0149822651,129.48888909497083,12.0999293978,0.1454901982059856,0.406291691437412,0.1273224157147916,0.2201605993,0.125877423,0.0912418456,7435707396381.0,1415656560415,0.0242424242,1.215004501,0.1601267714,1.1538883813,-9.708264115162246,2.421722470700881,90504692190000.0,1097026572.0,19.3016588404,4.7014883596,2.3942287334,18.8145649595,1129.3066700539318,17547.6346402984,15.0838897902
FPT,2021,4,1.0454792052,1.5071424935,0.4854694455593869,1.4460096587709839,0.747278981,3.8102163592,60.27337727812472,25.0930897234,47.1495774312,132.5160444327247,14.5458372812,0.1365421010430737,0.38250624955733525,0.1215914929086724,0.2167424308,0.1304394203,0.0909003243,7058943201555.0,1461554245850,0.0173913043,1.1800089976,0.1820444874,1.1293609169,-10.587037947371027,2.5068254332284345,104368439635000.0,907551649.0,24.0258423086,5.8173326389,2.9269896842,17.8451100002,1434.1025175394727,19768.510267122,17.0031297998
FPT,2021,3,0.9634075676,1.3737729673,0.41541525360370046,1.3720191676782767,0.7411425578,4.0231012043,60.320645120926734,32.0270918192,45.1617816362,137.50951857632674,11.3966014167,0.1576805348800778,0.37259193859523754,0.12891880451802193,0.2039699037,0.136763133,0.0884844578,6782810176201.0,1375789781096,0.0,1.1840134061,0.2103721692,1.1085022892,-11.450701695629212,2.3737729673439554,79955300276900.0,907551649.0,19.8599175213,4.7078132375,2.3782126916,15.0130068526,1239.421182415812,18713.5715789493,14.0960731119
FPT,2021,2,0.9453655367,1.3422876737,0.4134446102476302,1.3540214902174925,0.759184616,4.0279518646,60.58129929735315,30.2744211206,47.6058133124,138.46153373035315,12.0563824671,0.17301050102300114,0.39809045012987365,0.11572147065656067,0.1994414714,0.135019253,0.0893277464,6558900120558.0,1495106107041,0.0,1.1858639057,0.1992376714,1.1118490129,-12.005948211397936,2.3422876736687246,90202445736200.0,907469273.0,23.522562588,5.3733905515,2.7799190238,15.8548712711,1101.9999307271312,18498.5623224964,16.1087797297
FPT,2021,1,0.9200801700353622,1.25411057472229,0.4243843524382314,1.3319313591749131,0.770164430141449,3.9348347187042236,62.29129548333461,28.87016487121582,45.79838943481445,136.95984978936488,12.642809867858887,0.1424468450955471,0.3815452061386575,0.11944417913450006,0.1986926645040512,0.1279441863298416,0.09247589111328125,6148557111296.0,1080648442446,0.0,1.2149723768234253,0.2247770130634308,1.1436351537704468,-10.826273379391298,2.254110553081297,78133104405300.0,907469273.0,21.0479281538,4.6814369436,2.5379292535,13.0048694838,998.5381413382578,18391.7888965845,15.051003421
FPT,2020,4,0.7211783233,1.2430973497,0.4471389989075687,1.2558114640444744,0.7941168928,3.7736139338,69.60559509041691,27.9071104707,55.370733354,152.88343891511693,13.0791039934,0.1450628642307157,0.4004891253644266,0.11340454487272467,0.199859458,0.1469006608,0.0941855175,6095337155480.0,1257216994600,0.0240963855,1.1452189168,0.2095350786,1.0875346681,-12.756679239699919,2.244265987352304,65496534874000.0,789114878.0,18.3919782379,4.1459614557,2.1956304212,10.2640781964,1245.5014087074405,20019.4818229039,12.3565715696
FPT,2020,3,0.6469349775,1.0767077663,0.39814261667051565,1.2273699653877017,0.8263781832,3.9804167683,66.57928233024012,27.5073314723,45.2009289893,139.2875427918401,13.2691897201,0.15785984060170494,0.39702464881423843,0.12298053715585842,0.1876700821,0.1500402395,0.0934613973,5828684472903.0,1192335661697,0.0298507463,1.2113821796,0.2321488713,1.1415481286,-13.897994246455625,2.0767077663258813,52521642370000.0,783905110.0,15.8258042228,3.4868441615,1.7935340391,8.4943306986,1184.9492863211467,19215.0830084817,10.6958229749
